NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE,DENSITY,LUMINOSITY,MISSION
CoRoT-9 b,CoRoT-9,95.2738,0.843564,0.406991,1.05,Transit,0.99,0.94,5625,2010,0.7287060428611701,0.7925648961093678,CoRoT
HD 114386 b,HD 114386,937.70001,1.3637,1.72685,N/A,RV,0.78,0.637212,4819.64,2004,N/A,0.19629774501042246,HD
HD 103197 b,HD 103197,47.84,0.0982431,0.249018,N/A,RV,0.9,1.01561,5303,2011,N/A,0.7308520405251904,HD
7 CMa b,7 CMa,763,2.43233,1.80264,N/A,RV,1.34,2.3,4761,2011,N/A,2.4352155959488293
K2-3 b,K2-3,10.05403,0.0163773,0.0769351,0.195,Transit,0.601,0.561,3896,2015,2.2087201901681595,0.06496665910877525,K2
Kepler-368 b,Kepler-368,26.84768,0.0318107,0.175473,0.290838,Transit,N/A,2.019,5502,2014,1.2930699174338085,3.3469097418909026,Kepler
Kepler-335 b,Kepler-335,6.562331,0.0346488,0.0685981,0.302436,Transit,N/A,1.854,5877,2014,1.2525352944963484,3.6739330762839617,Kepler
WASP-16 b,WASP-16,3.1186009,0.842294,0.0417858,1.008,Transit,1,0.946,5700,2009,0.8224023476789064,0.8463903711592572,WASP
Kepler-316 b,Kepler-316,2.240508,0.00359062,0.0335097,0.0945669,Transit,N/A,0.52,4204,2014,4.245748045482252,0.07567397291907511,Kepler
HD 152581 b,HD 152581,689,1.51375,1.48938,N/A,RV,0.927,3.809,5155,2011,N/A,9.179639844107077,HD
KIC 11442793 h,KIC 11442793,331.60059,0.937417,0.996347,1.01,Transit,1.2,1.2,6080,2013,0.9098523780254953,1.7630548661375331,KIC,KIC
Kepler-103 b,Kepler-103,15.9654,0.0305195,0.127704,0.300624,Transit,1.09,1.44,5845,2014,1.1233334668593329,2.1684632418614713,Kepler
Kepler-338 b,Kepler-338,13.726976,0.0189734,0.112199,0.217682,Transit,N/A,1.735,5923,2014,1.839415477518973,3.3193642124089573,Kepler
Kepler-129 b,Kepler-129,15.79186,0.0182069,0.123186,0.211437,Transit,N/A,1.641,5770,2014,1.9261729216380514,2.6742957445550957,Kepler
PH-1 b,PH-1,138.506,0.100437,0.629412,0.550851,Transit,1.734,1.759,6407,2013,0.6008880072124564,4.671319726619724
